_id,airline_code,airline_name,arrival_date,arrival_time,departure_date,departure_time,destination,destination_airport,destination_code,number,origin,origin_airport,origin_code,price,spaceship_seats,status,tail_number
619839ac3bfeb82c87907889,RA,Rocket Airlines Inc.,20211226,1630,20211225,1510,Mars,Musk Interplanetary Space Station,MAR,223,Earth,Humans United Space Station,EAR,888,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,N1836U
619839ac3bfeb82c8790788a,RA,Rocket Airlines Inc.,20211228,1126,20211227,918,Moon,Armstrong Space Station,MOO,1047,Earth,Humans United Space Station,EAR,925,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,N7288U
619839ac3bfeb82c8790788b,RA,Rocket Airlines Inc.,20211227,1845,20211226,1644,Pluto,Ronald Ekers Space Station,PLT,391,Earth,Humans United Space Station,EAR,1721,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,N816UA
619839ac3bfeb82c8790788c,RA,Rocket Airlines Inc.,20211230,1025,20211229,727,Mercury,Mariner 10 Station,MER,636,Earth,Humans United Space Station,EAR,719,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,N203UA
619839ac3bfeb82c8790788d,RA,Rocket Airlines Inc.,20211226,1010,20211225,748,Uranus,Voyager II Space Station,URA,1436,Earth,Humans United Space Station,EAR,316,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,N526UA
619839ac3bfeb82c8790788e,RA,Rocket Airlines Inc.,20211231,1157,20211230,951,Saturn,Dione Space Station,SAT,109,Earth,Humans United Space Station,EAR,1745,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,N528UA
619839ac3bfeb82c8790788f,RA,Rocket Airlines Inc.,20211228,1025,20211227,801,Venus,Galileo Space Station,VEN,762,Earth,Humans United Space Station,EAR,1846,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,N782UA
619839ac3bfeb82c87907890,RA,Rocket Airlines Inc.,20211229,2309,20211228,1738,Neptune,Triton Space Station,NPT,1500,Earth,Humans United Space Station,EAR,1005,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,N7259U
619839ac3bfeb82c87907891,RA,Rocket Airlines Inc.,20211231,1611,20211230,1457,Venus,Galileo Space Station,VEN,1116,Saturn,Dione Space Station,SAT,337,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,
619839ac3bfeb82c87907892,RA,Rocket Airlines Inc.,20211226,1924,20211225,1706,Pluto,Ronald Ekers Space Station,PLT,1770,Saturn,Dione Space Station,SAT,954,"[{""seat_column"":""A"",""seat_row"":1,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":2,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":3,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":4,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":5,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":6,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":7,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":8,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":9,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""A"",""seat_row"":10,""seat_class"":""First"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""B"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":1,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":2,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":3,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":4,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":5,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":6,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":7,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":8,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":9,""seat_class"":""Economy"",""isReserved"":false},{""seat_column"":""C"",""seat_row"":10,""seat_class"":""Economy"",""isReserved"":false}]",Open,
